Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,66,3,Some Random Commen with Id 0
1,0,4,94,3,Some Random Commen with Id 1
2,0,4,148,9,Some Random Commen with Id 2
3,0,4,63,5,Some Random Commen with Id 3
4,2,4,45,3,Some Random Commen with Id 4
5,2,4,19,2,Some Random Commen with Id 5
6,2,4,192,4,Some Random Commen with Id 6
7,2,4,164,0,Some Random Commen with Id 7
8,2,4,95,5,Some Random Commen with Id 8
9,2,4,119,5,Some Random Commen with Id 9
10,3,8,11,6,Some Random Commen with Id 10
11,4,6,183,7,Some Random Commen with Id 11
12,4,6,116,9,Some Random Commen with Id 12
13,6,0,162,7,Some Random Commen with Id 13
14,6,0,52,8,Some Random Commen with Id 14
15,6,0,32,0,Some Random Commen with Id 15
16,6,0,35,4,Some Random Commen with Id 16
17,6,0,88,1,Some Random Commen with Id 17
18,7,6,110,7,Some Random Commen with Id 18
19,7,6,22,0,Some Random Commen with Id 19
20,7,6,140,8,Some Random Commen with Id 20
21,7,6,101,5,Some Random Commen with Id 21
22,7,6,0,2,Some Random Commen with Id 22
23,7,6,92,0,Some Random Commen with Id 23
24,7,6,90,3,Some Random Commen with Id 24
25,8,2,83,7,Some Random Commen with Id 25
26,8,2,5,2,Some Random Commen with Id 26
27,8,2,153,2,Some Random Commen with Id 27
28,8,2,137,2,Some Random Commen with Id 28
29,8,2,48,8,Some Random Commen with Id 29
30,8,2,106,1,Some Random Commen with Id 30
31,9,9,133,3,Some Random Commen with Id 31
32,9,9,39,8,Some Random Commen with Id 32
33,9,9,120,4,Some Random Commen with Id 33
34,9,9,16,2,Some Random Commen with Id 34
35,10,2,76,1,Some Random Commen with Id 35
36,11,3,78,4,Some Random Commen with Id 36
37,11,3,40,3,Some Random Commen with Id 37
38,12,8,121,6,Some Random Commen with Id 38
39,14,6,26,7,Some Random Commen with Id 39
40,14,6,182,6,Some Random Commen with Id 40
41,14,6,104,1,Some Random Commen with Id 41
42,14,6,196,5,Some Random Commen with Id 42
43,14,6,139,1,Some Random Commen with Id 43
44,14,6,184,2,Some Random Commen with Id 44
45,15,5,139,1,Some Random Commen with Id 45
46,15,5,165,8,Some Random Commen with Id 46
47,15,5,174,4,Some Random Commen with Id 47
48,15,5,54,6,Some Random Commen with Id 48
49,15,5,122,3,Some Random Commen with Id 49
50,15,5,21,5,Some Random Commen with Id 50
51,15,5,174,0,Some Random Commen with Id 51
52,16,0,139,5,Some Random Commen with Id 52
53,16,0,66,3,Some Random Commen with Id 53
54,16,0,180,4,Some Random Commen with Id 54
55,16,0,100,4,Some Random Commen with Id 55
56,16,0,89,6,Some Random Commen with Id 56
57,16,0,119,5,Some Random Commen with Id 57
58,16,0,147,1,Some Random Commen with Id 58
59,17,7,106,6,Some Random Commen with Id 59
60,18,8,81,8,Some Random Commen with Id 60
61,18,8,159,8,Some Random Commen with Id 61
62,18,8,195,3,Some Random Commen with Id 62
63,18,8,21,1,Some Random Commen with Id 63
64,18,8,87,1,Some Random Commen with Id 64
65,19,6,143,7,Some Random Commen with Id 65
66,19,6,165,0,Some Random Commen with Id 66
67,19,6,95,4,Some Random Commen with Id 67
68,19,6,18,2,Some Random Commen with Id 68
69,19,6,32,3,Some Random Commen with Id 69
70,19,6,165,5,Some Random Commen with Id 70
71,19,6,132,9,Some Random Commen with Id 71
72,21,0,3,6,Some Random Commen with Id 72
73,21,0,197,3,Some Random Commen with Id 73
74,22,8,113,5,Some Random Commen with Id 74
75,22,8,139,6,Some Random Commen with Id 75
76,22,8,153,1,Some Random Commen with Id 76
77,22,8,64,6,Some Random Commen with Id 77
78,22,8,80,2,Some Random Commen with Id 78
79,22,8,37,5,Some Random Commen with Id 79
80,23,9,24,3,Some Random Commen with Id 80
81,23,9,69,3,Some Random Commen with Id 81
82,23,9,179,3,Some Random Commen with Id 82
83,23,9,159,0,Some Random Commen with Id 83
84,23,9,156,1,Some Random Commen with Id 84
85,23,9,196,5,Some Random Commen with Id 85
86,23,9,55,0,Some Random Commen with Id 86
87,23,9,187,1,Some Random Commen with Id 87
88,23,9,10,0,Some Random Commen with Id 88
89,24,0,185,5,Some Random Commen with Id 89
90,24,0,111,1,Some Random Commen with Id 90
91,24,0,128,7,Some Random Commen with Id 91
92,24,0,25,0,Some Random Commen with Id 92
93,24,0,151,6,Some Random Commen with Id 93
94,24,0,180,6,Some Random Commen with Id 94
95,24,0,79,9,Some Random Commen with Id 95
96,26,7,56,1,Some Random Commen with Id 96
97,26,7,114,6,Some Random Commen with Id 97
98,27,8,24,0,Some Random Commen with Id 98
99,27,8,96,2,Some Random Commen with Id 99
100,27,8,124,8,Some Random Commen with Id 100
101,27,8,126,5,Some Random Commen with Id 101
102,27,8,37,5,Some Random Commen with Id 102
103,28,3,189,6,Some Random Commen with Id 103
104,28,3,192,8,Some Random Commen with Id 104
105,30,3,85,8,Some Random Commen with Id 105
106,30,3,31,2,Some Random Commen with Id 106
107,30,3,122,5,Some Random Commen with Id 107
108,30,3,12,4,Some Random Commen with Id 108
109,30,3,175,9,Some Random Commen with Id 109
110,30,3,114,9,Some Random Commen with Id 110
111,30,3,17,8,Some Random Commen with Id 111
112,30,3,89,8,Some Random Commen with Id 112
113,30,3,87,2,Some Random Commen with Id 113
114,31,5,153,7,Some Random Commen with Id 114
115,31,5,87,0,Some Random Commen with Id 115
116,31,5,92,1,Some Random Commen with Id 116
117,31,5,63,8,Some Random Commen with Id 117
118,31,5,138,3,Some Random Commen with Id 118
119,31,5,87,7,Some Random Commen with Id 119
120,32,8,117,6,Some Random Commen with Id 120
121,32,8,165,1,Some Random Commen with Id 121
122,33,0,184,6,Some Random Commen with Id 122
123,33,0,159,4,Some Random Commen with Id 123
124,33,0,174,8,Some Random Commen with Id 124
125,33,0,145,0,Some Random Commen with Id 125
126,33,0,190,2,Some Random Commen with Id 126
127,33,0,83,4,Some Random Commen with Id 127
128,33,0,155,9,Some Random Commen with Id 128
129,33,0,18,4,Some Random Commen with Id 129
130,33,0,160,6,Some Random Commen with Id 130
131,34,7,58,3,Some Random Commen with Id 131
132,34,7,8,1,Some Random Commen with Id 132
133,34,7,45,6,Some Random Commen with Id 133
134,34,7,89,6,Some Random Commen with Id 134
135,35,6,186,4,Some Random Commen with Id 135
136,35,6,168,5,Some Random Commen with Id 136
137,35,6,27,2,Some Random Commen with Id 137
138,35,6,75,8,Some Random Commen with Id 138
139,35,6,181,7,Some Random Commen with Id 139
140,36,8,55,3,Some Random Commen with Id 140
141,36,8,157,0,Some Random Commen with Id 141
142,36,8,48,7,Some Random Commen with Id 142
143,36,8,110,7,Some Random Commen with Id 143
144,36,8,95,9,Some Random Commen with Id 144
145,37,7,71,3,Some Random Commen with Id 145
146,37,7,127,2,Some Random Commen with Id 146
147,37,7,150,1,Some Random Commen with Id 147
148,37,7,195,2,Some Random Commen with Id 148
149,37,7,61,2,Some Random Commen with Id 149
150,37,7,100,3,Some Random Commen with Id 150
151,37,7,97,9,Some Random Commen with Id 151
152,38,2,168,6,Some Random Commen with Id 152
153,38,2,187,9,Some Random Commen with Id 153
154,38,2,63,8,Some Random Commen with Id 154
155,38,2,165,7,Some Random Commen with Id 155
156,38,2,88,5,Some Random Commen with Id 156
157,38,2,137,7,Some Random Commen with Id 157
158,38,2,73,7,Some Random Commen with Id 158
159,39,3,119,0,Some Random Commen with Id 159
160,39,3,151,6,Some Random Commen with Id 160
161,39,3,26,5,Some Random Commen with Id 161
